ANT1,20.65,-0.55,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,16.84,1.49,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.76,2.23,0.00,10uF,PERFECT_0402_0402
C10,12.27,5.23,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,16.78,0.78,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,15.17,2.28,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,14.19,2.29,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,8.18,3.14,180.00,4.7uF,PERFECT_0402_0402
C15,11.96,4.33,0.00,1.0uF,PERFECT_0402_0402
C16,11.49,3.45,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,6.18,0.61,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,6.21,-1.90,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-11.61,-10.38,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,15.13,3.99,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-3.04,-4.82,90.00,4.7uF/25V,PERFECT_0402_0402
C20,8.44,-4.94,180.00,4.7uF,PERFECT_0402_0402
C21,10.15,-6.52,270.00,4.7uF,PERFECT_0402_0402
C22,17.70,-1.78,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,4.55,5.90,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,5.05,5.00,180.00,10uF,PERFECT_0402_0402
C25,0.56,4.48,270.00,22uF,PERFECT_0402_0402
C27,-3.28,9.42,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.95,-12.37,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,16.93,-1.61,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-10.29,-12.26,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,0.07,-12.26,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,14.53,-8.84,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-1.02,4.84,180.00,22uF,PERFECT_0402_0402
C34,14.53,-12.60,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,0.32,8.03,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,2.23,7.99,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,1.28,7.98,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,17.77,0.63,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,5.95,10.64,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,6.41,11.59,0.00,4.7uF,PERFECT_0402_0402
C5,9.16,2.06,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,8.45,-3.91,180.00,4.7uF,PERFECT_0402_0402
C7,13.19,-5.63,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,16.72,-5.32,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,16.90,-2.71,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,-6.39,-6.67,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,5.66,8.35,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-1.10,-6.72,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-6.22,-4.72,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.64,3.10,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-10.64,-5.23,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-10.63,-6.27,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-10.60,-7.38,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-10.63,4.16,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-9.84,0.06,180.00,1uF/50V,PERFECT_0402_0402
EPD_C6,-10.56,-0.99,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-10.42,-2.03,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-10.44,-3.05,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-10.44,-4.08,180.00,1uF/50V,PERFECT_0402_0402
IC1,1.10,9.77,270.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,14.52,-10.62,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-12.21,-8.95,0.00,BMA423,BMA423_BMA423
IC9,2.65,5.42,270.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,12.11,9.74,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,17.23,-0.58,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,10.42,2.17,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,10.45,3.99,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-5.85,-1.03,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,2.76,3.25,180.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,19.00,-6.89,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-7.14,4.14,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-0.29,3.81,0.00,3K3,ERA-1AEB3401C_0201
R18,-0.89,3.81,0.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-5.48,3.59,270.00,0.47,ERA-1AEB3401C_0201
R1_USB,3.50,10.02,270.00,5K1,CPF0201D7K68C1_0201
R2,-12.48,-10.45,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-5.04,5.30,270.00,10K,ERA-1AEB3401C_0201
R2_USB,-1.19,10.37,90.00,5K1,CPF0201D7K68C1_0201
R3,-13.68,-9.71,90.00,0,CPF0201D7K68C1_0201
R4,-13.71,-9.18,270.00,0,ERA-1AEB3401C_0201
R5,-11.56,-11.99,180.00,10k,CPF0201D7K68C1_0201
R7,9.60,-12.04,180.00,10k,CPF0201D7K68C1_0201
R8,-1.39,-12.30,180.00,10k,CPF0201D7K68C1_0201
R9,-0.46,9.78,90.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,17.21,-6.86,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-5.21,2.86,180.00,2.2,ERA-1AEB3401C_0201
SJ1,-2.96,2.94,180.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,6.90,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-3.28,5.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-1.43,6.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,9.51,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,16.82,-12.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,16.87,-9.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,17.23,15.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,21.65,10.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,21.04,12.74,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,14.73,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,12.09,16.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,19.41,14.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-1.57,8.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,5.77,3.25,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,12.93,-1.64,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-5.61,9.17,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,17.25,3.52,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,7.97,-0.67,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
